"X10455.4513982972"
"1",10455.4513982972
"2",10455.4513982972
"3",10455.4513982972
"4",10455.4513982972
"5",10510.9030643847
"6",10727.3498481752
"7",10734.8539287576
"8",10734.8539287576
"9",10866.7745384319
"10",11019.4873357868
"11",11184.3024237674
"12",11184.3024237674
"13",11266.0885364548
"14",11266.0885364548
"15",11467.4356704008
"16",11467.4356704008
"17",11467.4356704008
"18",11467.4356704008
"19",11611.1539577357
"20",11616.2905594072
"21",11616.2905594072
"22",11616.2905594072
"23",11616.2905594072
"24",11616.2905594072
"25",11683.7254848685
"26",11685.8931369908
"27",11685.8931369908
"28",11685.8931369908
"29",11755.8908922547
"30",11755.8908922547
"31",11755.8908922547
"32",11755.8908922547
"33",11763.9428906633
"34",11763.9428906633
"35",11886.0216778857
"36",11886.0216778857
"37",11886.0216778857
"38",11921.5821753743
"39",11921.5821753743
"40",11921.5821753743
"41",11921.5821753743
"42",11921.5821753743
"43",11921.5821753743
"44",11921.5821753743
"45",11923.5317003666
"46",11923.5317003666
"47",11923.5317003666
"48",11923.5317003666
"49",11923.5317003666
"50",11923.5317003666
