"X5795.8239516351"
"1",5795.8239516351
"2",6060.53982703017
"3",6060.53982703017
"4",6060.53982703017
"5",6060.53982703017
"6",6060.53982703017
"7",6060.53982703017
"8",6060.53982703017
"9",6060.53982703017
"10",6060.53982703017
"11",6060.53982703017
"12",6060.53982703017
"13",6060.53982703017
"14",6060.53982703017
"15",6060.53982703017
"16",6060.53982703017
"17",6060.53982703017
"18",6060.53982703017
"19",6060.53982703017
"20",6060.53982703017
"21",6060.53982703017
"22",6060.53982703017
"23",6130.75696892537
"24",6130.75696892537
"25",6130.75696892537
"26",6130.75696892537
"27",6130.75696892537
"28",6165.37792776457
"29",6165.37792776457
"30",6165.37792776457
"31",6165.37792776457
"32",6165.37792776457
"33",6165.37792776457
"34",6165.37792776457
"35",6165.37792776457
"36",6165.37792776457
"37",6165.37792776457
"38",6165.37792776457
"39",6205.43382248416
"40",6205.43382248416
"41",6205.43382248416
"42",6205.43382248416
"43",6233.6467095779
"44",6233.6467095779
"45",6233.6467095779
"46",6233.6467095779
"47",6233.6467095779
"48",6233.6467095779
"49",6233.6467095779
"50",6233.6467095779
