"dur"
"1",1.717
"2",3.36
"3",4.794
"4",6.05
"5",9.257
"6",10.408
"7",11.2
"8",12.455
"9",13.838
"10",14.84
"11",16.09
"12",17.431
"13",18.431
"14",19.585
"15",20.749
"16",21.665
"17",22.801
"18",23.587
"19",25.477
"20",26.253
