"","dominadores","dominadores.1","dominadores.2","dominadores.3","dominadores.4","dominadores.5","dominadores.6","dominadores.7","dominadores.8"
"150",6,2,0,0,1,0,0,0,0
"151",2,6,3,0,0,2,0,0,0
"152",26,1,1,0,11,0,0,0,0
"153",27,1,0,0,0,1,12,0,0
"154",26,2,2,9,0,1,3,0,0
"155",19,6,6,1,0,2,0,0,0
"156",14,0,0,0,1,0,0,0,0
"157",36,8,0,0,0,0,5,0,0
"158",10,0,10,15,10,7,0,0,0
"159",15,20,9,0,1,0,0,0,0
"160",41,0,4,0,2,10,0,0,0
"161",50,0,0,2,0,1,0,0,0
"162",16,9,20,0,0,0,1,0,0
"163",34,1,0,0,0,16,0,0,0
"164",16,1,0,1,2,3,2,0,0
"165",1,0,5,1,15,13,1,0,0
"166",6,3,3,0,0,0,0,0,0
"167",30,0,0,0,0,0,0,0,0
"168",5,2,0,22,15,0,0,0,0
"169",4,0,6,1,4,16,0,0,0
"170",3,0,18,31,7,2,0,0,0
"171",26,0,0,20,7,1,0,0,0
"172",0,3,1,14,3,13,0,0,0
"173",24,5,1,0,0,8,0,0,0
"174",3,1,6,2,0,0,0,0,0
"175",35,0,0,3,0,0,0,0,0
"176",19,4,16,1,23,7,2,0,0
"177",8,0,0,0,0,13,0,0,0
"178",13,0,13,0,0,0,0,0,0
"179",48,0,12,0,0,3,0,0,0
"180",8,0,4,0,3,1,1,0,0
"181",30,11,8,31,0,0,0,0,0
"182",1,29,5,0,1,1,0,0,0
"183",0,0,8,2,2,21,2,0,0
"184",4,1,2,0,0,17,0,0,0
"185",14,5,0,8,8,2,0,0,0
"186",45,1,1,0,0,0,1,0,0
"187",23,8,1,3,3,4,0,0,0
"188",9,1,0,0,0,22,0,0,0
"189",3,3,11,0,2,6,0,0,0
"190",13,0,3,26,15,0,0,0,0
"191",53,0,0,33,1,3,0,0,0
"192",35,1,0,4,1,0,0,0,0
"193",25,8,0,16,0,0,0,0,0
"194",29,11,21,0,3,0,0,0,0
"195",29,0,2,2,0,0,0,0,0
"196",17,3,17,6,3,5,0,0,0
"197",26,0,13,1,0,0,0,0,0
"198",0,4,0,21,0,6,0,0,0
"199",0,5,1,3,11,0,0,0,0
"200",5,0,0,0,13,0,0,0,0
