"","X2.276","X0","X2.5339999999851","X0.1","X0.2"
"1",2.276,0,2.5339999999851,0,0
"2",2.224,0,2.48300000000745,0,0
"3",2.048,0,2.30400000000373,0,0
"4",2.25999999999999,0,2.60499999998137,0,0
"5",2.352,0,2.60800000000745,0,0
"6",2.12800000000001,0,2.40400000000955,0,0
"7",2.136,0,2.44099999999162,0,0
"8",2.196,0,2.46300000001793,0,0
"9",2.31200000000001,0,2.65199999997276,0,0
"10",2.20399999999998,0,2.42800000001444,0,0
"11",2.184,0,2.47200000000885,0,0
"12",2.08000000000001,0,2.36799999998766,0,0
"13",2.21600000000001,0,2.49100000000908,0,0
"14",2.38399999999999,0,2.67699999999604,0,0
"15",2.196,0,2.45100000000093,0,0
"16",2.21600000000001,0,2.51500000001397,0,0
"17",2.19999999999999,0,2.51699999999255,0,0
"18",2.38,0,2.65800000002491,0,0
"19",2.10000000000002,0,2.37200000000303,0,0
"20",2.17599999999999,0,2.47999999998137,0,0
"21",2.11600000000001,0,2.39600000000792,0,0
"22",2.268,0,2.54000000000815,0,0
"23",2.32399999999998,0,2.5789999999979,0,0
"24",2.23599999999999,0,2.50899999999092,0,0
"25",2.06800000000001,0,2.3640000000014,0,0
"26",2.148,0,2.4440000000177,0,0
"27",2.292,0,2.5559999999823,0,0
"28",2.00800000000001,0,2.2960000000021,0,0
"29",2.12,0,2.4440000000177,0,0
"30",2.06799999999998,0,2.29999999998836,0,0
"31",2.22,0,2.49499999999534,0,0
"32",2.20000000000002,0,2.47299999999814,0,0
"33",2.15599999999998,0,2.44000000000233,0,0
"34",2.04000000000002,0,2.29200000001583,0,0
"35",2.16399999999999,0,2.46699999997509,0,0
"36",2.33600000000001,0,2.625,0,0
"37",2.03999999999999,0,2.26000000000931,0,0
"38",2.08799999999999,0,2.38800000000629,0,0
"39",2.11199999999999,0,2.41500000000815,0,0
"40",2.19999999999999,0,2.47200000000885,0,0
"41",2.16,0,2.47199999997974,0,0
"42",2.15200000000002,0,2.41599999999744,0,0
"43",2.04399999999998,0,2.30800000001909,0,0
"44",2.172,0,2.47099999999045,0,0
"45",2.26400000000001,0,2.50400000001537,0,0
"46",2.05199999999999,0,2.32399999999325,0,0
"47",2.06800000000001,0,2.33600000001024,0,0
"48",2.124,0,2.39600000000792,0,0
"49",2.22,0,2.47999999998137,0,0
"50",2.12400000000002,0,2.39999999999418,0,0
"51",2.15199999999999,0,2.4210000000021,0,0
"52",2.06400000000002,0,2.3859999999986,0,0
"53",2.18799999999999,0,2.43900000001304,0,0
"54",2.22399999999999,0,2.5,0,0
"55",2.17200000000003,0,2.45199999999022,0,0
"56",1.988,0,2.28800000000047,0,0
"57",2.11999999999998,0,2.39699999999721,0,0
"58",2.328,0,2.61100000000442,0,0
"59",2.00799999999998,0,2.29999999998836,0,0
"60",2.16,0,2.42299999998068,0,0
"61",2.07599999999999,0,2.39100000000326,0,0
"62",2.20800000000003,0,2.47899999999208,0,0
"63",2.18399999999997,0,2.44800000000396,0,0
"64",2.16800000000001,0,2.47500000000582,0,0
"65",2,0,2.25699999998324,0,0
"66",2.15600000000001,0,2.41699999998673,0,0
"67",2.31999999999999,0,2.64400000000023,0,0
"68",2.01600000000002,0,2.30000000001746,0,0
"69",2.14800000000002,0,2.4309999999823,0,0
"70",2.11199999999997,0,2.38800000000629,0,0
"71",2.24000000000001,0,2.51900000000023,0,0
"72",2.17200000000003,0,2.46099999998114,0,0
"73",2.13599999999997,0,2.37600000001839,0,0
