"","X0.103448275862069"
"1",0.103448275862069
"2",1
"3",1
"4",0.935483870967742
"5",1
"6",1
"7",1
"8",0.9375
"9",0.933333333333333
"10",1
"11",1
"12",1
"13",0.25
"14",0.896551724137931
"15",0.931034482758621
"16",0.928571428571429
"17",1
"18",1
"19",1
"20",0.96875
"21",0.909090909090909
"22",0.970588235294118
"23",1
"24",0.961538461538462
"25",0.975
"26",1
"27",0.275862068965517
"28",0.961538461538462
"29",0.842105263157895
"30",1
"31",0.96875
"32",1
"33",1
"34",1
"35",1
"36",0.888888888888889
"37",0.25
"38",1
"39",0.96969696969697
"40",1
"41",0.875
"42",1
"43",1
"44",0.448275862068966
"45",0.857142857142857
"46",0.967741935483871
"47",1
"48",1
"49",1
"50",1
"51",1
"52",1
"53",0.962962962962963
"54",0.333333333333333
"55",0.96
"56",1
"57",1
"58",0.868421052631579
"59",0.962962962962963
"60",1
"61",1
"62",1
"63",1
"64",0.333333333333333
"65",1
"66",1
"67",0.928571428571429
"68",1
"69",0.878787878787879
"70",0.952380952380952
"71",0.884615384615385
"72",1
"73",0.875
"74",1
"75",0.931034482758621
"76",0.318181818181818
"77",0.952380952380952
"78",1
"79",1
"80",1
"81",1
"82",0.846153846153846
"83",1
"84",1
"85",1
"86",1
"87",0.3
"88",1
"89",1
"90",1
"91",0.307692307692308
"92",1
"93",1
"94",1
"95",1
"96",0.833333333333333
"97",1
"98",1
"99",1
"100",1
"101",1
"102",0.862068965517241
"103",1
"104",0.925925925925926
"105",1
"106",0.16
"107",1
"108",1
"109",1
"110",1
"111",0.961538461538462
"112",0.92
"113",1
"114",1
"115",1
"116",1
"117",0.853658536585366
"118",0.238095238095238
"119",1
"120",1
"121",1
"122",0.15625
"123",1
"124",0.954545454545455
"125",1
"126",0.851851851851852
"127",1
"128",1
"129",1
"130",1
"131",0.961538461538462
"132",1
"133",0.285714285714286
"134",0.956521739130435
"135",0.956521739130435
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",0.96969696969697
"143",0.233333333333333
"144",0.909090909090909
"145",1
"146",0.954545454545455
"147",1
"148",1
"149",1
"150",1
"151",1
"152",0.173913043478261
"153",1
"154",0.866666666666667
"155",1
"156",0.916666666666667
"157",0.962962962962963
"158",0.958333333333333
"159",0.954545454545455
"160",1
"161",0.941176470588235
"162",1
"163",1
"164",1
"165",0.137931034482759
"166",0.923076923076923
"167",1
"168",1
"169",0.909090909090909
"170",1
"171",1
"172",0.857142857142857
"173",0.925925925925926
"174",1
"175",1
"176",1
"177",1
"178",0.233333333333333
"179",0.866666666666667
"180",1
"181",0.962962962962963
"182",0.857142857142857
"183",0.931034482758621
"184",1
"185",1
"186",0.363636363636364
"187",1
"188",1
"189",1
"190",1
"191",0.892857142857143
"192",1
"193",1
"194",0.28125
"195",1
"196",1
"197",1
"198",1
"199",0.964285714285714
"200",1
"201",1
"202",0.0666666666666667
"203",1
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",0.95
"211",1
"212",0.88
"213",1
"214",0.96
"215",0.0476190476190476
"216",1
"217",1
"218",1
"219",1
"220",0.842105263157895
"221",1
"222",1
"223",1
"224",1
"225",0.961538461538462
"226",0.4
"227",1
"228",0.96551724137931
"229",0.88
"230",1
"231",0.142857142857143
"232",1
"233",0.9
"234",1
"235",1
"236",0.92
"237",0.962962962962963
"238",1
"239",1
"240",1
"241",1
"242",1
"243",1
"244",1
"245",0.869565217391304
"246",1
"247",1
"248",0.111111111111111
"249",0.96969696969697
"250",0.789473684210526
"251",0.184210526315789
"252",1
"253",1
"254",0.954545454545455
"255",0.91304347826087
"256",1
"257",1
"258",1
"259",1
"260",0.96
"261",0.9375
"262",0.806451612903226
"263",0.904761904761905
"264",0.96969696969697
"265",1
"266",0.96969696969697
"267",1
"268",0.130434782608696
"269",0.923076923076923
"270",1
"271",1
"272",0.103448275862069
"273",1
"274",0.961538461538462
"275",1
"276",0.772727272727273
"277",1
"278",0.964285714285714
"279",1
"280",0.956521739130435
"281",0.235294117647059
"282",0.962962962962963
"283",1
"284",0.956521739130435
"285",1
"286",0.923076923076923
"287",1
"288",0.84
"289",1
"290",1
"291",1
"292",0.95
"293",1
"294",0.53125
"295",0.964285714285714
"296",0.892857142857143
"297",0.882352941176471
"298",1
"299",1
"300",0.833333333333333
"301",0.483870967741935
"302",1
"303",1
"304",0.956521739130435
"305",1
"306",1
"307",1
"308",0.923076923076923
"309",1
"310",0.972222222222222
"311",0.925925925925926
"312",1
"313",0.91304347826087
"314",1
