"","X0.257142857142857"
"1",0.257142857142857
"2",0.0666666666666667
"3",0
"4",0
"5",0.0555555555555556
"6",0.192307692307692
"7",0.16
"8",0
"9",0.114285714285714
"10",0.194444444444444
"11",0.0294117647058824
"12",0
"13",0
"14",0
"15",0
"16",0.0416666666666667
"17",0
"18",0.0384615384615385
"19",0.735294117647059
"20",0.0857142857142857
"21",0.21875
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0.142857142857143
"29",0
"30",0
"31",0.0740740740740741
"32",0
"33",0
"34",0
"35",0.0454545454545455
"36",0.037037037037037
"37",0.0769230769230769
"38",0.0967741935483871
"39",0.625
"40",0.0625
"41",0.037037037037037
"42",0.0487804878048781
"43",0.0526315789473684
"44",0
"45",0.04
"46",0.192307692307692
"47",0.1875
"48",0.166666666666667
"49",0.0540540540540541
"50",0.742857142857143
"51",0.0625
"52",0
"53",0
"54",0.0857142857142857
"55",0
"56",0.227272727272727
"57",0.25
"58",0.0689655172413793
"59",0.03125
"60",0.0416666666666667
"61",0.0526315789473684
"62",0.0909090909090909
"63",0.0740740740740741
"64",0.0740740740740741
"65",0.04
"66",0.205128205128205
"67",0.114285714285714
"68",0.111111111111111
"69",0.8
"70",0.0303030303030303
"71",0.2
"72",0
"73",0
"74",0.0384615384615385
"75",0
"76",0.2
"77",0.117647058823529
"78",0.0789473684210526
"79",0.16
"80",0.724137931034483
"81",0.1
"82",0
"83",0
"84",0
"85",0.04
"86",0.0333333333333333
"87",0.142857142857143
"88",0.04
"89",0.590909090909091
"90",0.03125
"91",0.205882352941176
"92",0.04
"93",0
"94",0.0645161290322581
"95",0.04
"96",0.108108108108108
"97",0.0689655172413793
"98",0.0909090909090909
"99",0.0434782608695652
"100",0.111111111111111
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0.0357142857142857
"107",0.315789473684211
"108",0.0909090909090909
"109",0.566666666666667
"110",0.129032258064516
"111",0.181818181818182
"112",0.032258064516129
"113",0
"114",0
"115",0.04
"116",0.0434782608695652
"117",0.206896551724138
"118",0.137931034482759
"119",0.5
"120",0
"121",0
"122",0.0526315789473684
"123",0.032258064516129
"124",0.0333333333333333
"125",0.153846153846154
"126",0.0833333333333333
"127",0.04
"128",0
"129",0.208333333333333
"130",0.8
"131",0.08
"132",0
"133",0
"134",0
"135",0
"136",0.0357142857142857
"137",0.125
"138",0
"139",0.125
"140",0
"141",0.0869565217391304
"142",0
"143",0.037037037037037
"144",0.0285714285714286
"145",0.195121951219512
"146",0.0416666666666667
"147",0.0434782608695652
"148",0.176470588235294
"149",0.0740740740740741
"150",0.8
"151",0.216216216216216
"152",0
"153",0
"154",0
"155",0.0909090909090909
"156",0.0526315789473684
"157",0.09375
"158",0
"159",0.0714285714285714
"160",0.166666666666667
"161",0.151515151515152
"162",0
"163",0
"164",0.0434782608695652
"165",0.117647058823529
"166",0
"167",0.130434782608696
"168",0.09375
"169",0.130434782608696
"170",0.103448275862069
"171",0.0909090909090909
"172",0
"173",0
"174",0
"175",0.0476190476190476
"176",0.0555555555555556
"177",0.15
"178",0
"179",0.12
"180",0.708333333333333
"181",0.136363636363636
"182",0.0285714285714286
"183",0
"184",0.0454545454545455
"185",0.0555555555555556
"186",0
"187",0.0476190476190476
"188",0.128205128205128
"189",0.68
"190",0.0909090909090909
"191",0
"192",0
"193",0.0333333333333333
"194",0.0303030303030303
"195",0.037037037037037
"196",0.1
"197",0.151515151515152
"198",0.0833333333333333
"199",0.192307692307692
"200",0.153846153846154
"201",0.172413793103448
"202",0.0952380952380952
"203",0
"204",0.08
"205",0.13953488372093
"206",0.0384615384615385
"207",0.0882352941176471
"208",0.0294117647058824
"209",0.869565217391304
"210",0.0384615384615385
"211",0.0344827586206897
"212",0
"213",0
"214",0
"215",0
"216",0.0476190476190476
"217",0
"218",0.0357142857142857
"219",0.0277777777777778
"220",0.0487804878048781
"221",0.176470588235294
"222",0
"223",0
"224",0
"225",0
"226",0.2
"227",0.166666666666667
"228",0.222222222222222
"229",0.21875
"230",0.333333333333333
"231",0.258064516129032
"232",0
"233",0
"234",0.0666666666666667
"235",0
"236",0.107142857142857
"237",0
"238",0.173913043478261
"239",0.736842105263158
"240",0.0465116279069767
"241",0.161290322580645
"242",0.0263157894736842
"243",0
"244",0.0357142857142857
"245",0.0357142857142857
"246",0.05
"247",0.233333333333333
"248",0.103448275862069
"249",0.608695652173913
"250",0.121212121212121
"251",0.0697674418604651
"252",0.0857142857142857
"253",0.0333333333333333
"254",0.0769230769230769
"255",0
"256",0
"257",0.04
"258",0.0476190476190476
"259",0.7
"260",0.137931034482759
"261",0.0625
"262",0.0645161290322581
"263",0.0526315789473684
"264",0.125
"265",0
"266",0.0666666666666667
"267",0.125
"268",0.172413793103448
"269",0.8
"270",0.131578947368421
"271",0
"272",0
"273",0
"274",0.0333333333333333
"275",0
"276",0.153846153846154
"277",0.103448275862069
"278",0.107142857142857
"279",0
"280",0.04
"281",0.135135135135135
"282",0.0740740740740741
"283",0
"284",0.0294117647058824
"285",0.0555555555555556
"286",0.0645161290322581
"287",0.185185185185185
"288",0.166666666666667
"289",0.68
"290",0.0666666666666667
"291",0.21875
"292",0.108108108108108
"293",0.0714285714285714
"294",0.192307692307692
"295",0
"296",0.0625
"297",0.0277777777777778
"298",0.111111111111111
"299",0.666666666666667
"300",0.0740740740740741
"301",0.225806451612903
"302",0
"303",0
"304",0
"305",0
"306",0.0869565217391304
"307",0.08
"308",0.032258064516129
"309",0.807692307692308
"310",0.16
"311",0.222222222222222
"312",0.0588235294117647
"313",0
"314",0
"315",0
"316",0.222222222222222
"317",0.0714285714285714
"318",0.0285714285714286
"319",0.772727272727273
"320",0.0666666666666667
"321",0.318181818181818
"322",0
"323",0.0769230769230769
"324",0.0357142857142857
"325",0.0416666666666667
"326",0.111111111111111
"327",0.185185185185185
"328",0.189189189189189
"329",0.482758620689655
"330",0.135135135135135
"331",0.0512820512820513
"332",0
"333",0
"334",0
"335",0.115384615384615
"336",0
"337",0.193548387096774
"338",0.216216216216216
"339",0.115384615384615
"340",0.0434782608695652
"341",0.0909090909090909
"342",0
"343",0
"344",0.0384615384615385
"345",0
"346",0
"347",0.275862068965517
"348",0
"349",0.642857142857143
"350",0.03125
"351",0.0540540540540541
"352",0.037037037037037
"353",0
"354",0
"355",0.0869565217391304
"356",0.0294117647058824
"357",0.0416666666666667
"358",0.032258064516129
"359",0.0909090909090909
"360",0.576923076923077
"361",0.25
"362",0
"363",0
"364",0.0357142857142857
"365",0.0769230769230769
"366",0.114285714285714
"367",0.0833333333333333
"368",0
"369",0.92
"370",0.142857142857143
"371",0.111111111111111
"372",0
"373",0.0263157894736842
"374",0.05
"375",0.037037037037037
"376",0.185185185185185
"377",0.0666666666666667
"378",0
"379",0
"380",0.0909090909090909
"381",0.37037037037037
"382",0
"383",0
"384",0.08
"385",0.0625
"386",0
"387",0.133333333333333
"388",0.1
"389",0.833333333333333
"390",0
"391",0.0689655172413793
"392",0
"393",0.0294117647058824
"394",0.03125
"395",0.0769230769230769
"396",0.12
"397",0.15
"398",0.121212121212121
"399",0
"400",0.625
"401",0.172413793103448
"402",0
"403",0.0645161290322581
"404",0.136363636363636
"405",0.037037037037037
"406",0.0434782608695652
"407",0.185185185185185
"408",0.0882352941176471
"409",0.607142857142857
"410",0.0909090909090909
"411",0.15625
"412",0.0357142857142857
"413",0
"414",0
"415",0.03125
"416",0.0294117647058824
"417",0
"418",0
"419",0.142857142857143
"420",0.037037037037037
"421",0.266666666666667
"422",0
"423",0.0333333333333333
"424",0.04
"425",0
"426",0
"427",0.111111111111111
"428",0
"429",0.833333333333333
"430",0.0571428571428571
"431",0.151515151515152
"432",0.115384615384615
"433",0
"434",0
"435",0.107142857142857
"436",0.142857142857143
"437",0.111111111111111
"438",0.0277777777777778
"439",0.0714285714285714
"440",0
"441",0.037037037037037
"442",0.0263157894736842
"443",0
"444",0.0588235294117647
"445",0
"446",0.0740740740740741
"447",0.130434782608696
"448",0.105263157894737
"449",0.15
"450",0
"451",0.0909090909090909
"452",0
"453",0
"454",0.142857142857143
"455",0
"456",0.03125
"457",0
"458",0.0833333333333333
"459",0.1
"460",0.0909090909090909
"461",0
"462",0.0740740740740741
"463",0.0357142857142857
"464",0.0434782608695652
"465",0
"466",0.102564102564103
"467",0.0833333333333333
"468",0.138888888888889
"469",0.0344827586206897
"470",0.642857142857143
"471",0.0975609756097561
"472",0
"473",0
"474",0
"475",0.0344827586206897
"476",0.08
"477",0.107142857142857
"478",0.24
"479",0.757575757575758
"480",0.107142857142857
"481",0.344827586206897
"482",0.05
"483",0
"484",0
"485",0.0384615384615385
"486",0.0967741935483871
"487",0.3
"488",0.133333333333333
"489",0.037037037037037
"490",0.0714285714285714
"491",0.0740740740740741
"492",0.0303030303030303
"493",0
"494",0
"495",0
"496",0
"497",0.0666666666666667
"498",0.03125
"499",0.107142857142857
"500",0.0606060606060606
