"","X0.666666666666667"
"1",0.666666666666667
"2",1
"3",0.84
"4",0.903225806451613
"5",0.9375
"6",0.91304347826087
"7",0.970588235294118
"8",0.928571428571429
"9",0.862068965517241
"10",1
"11",0.869565217391304
"12",0.708333333333333
"13",0.911764705882353
"14",0.882352941176471
"15",1
"16",0.96969696969697
"17",0.864864864864865
"18",0.789473684210526
"19",0.941176470588235
"20",1
"21",0.75
"22",0.928571428571429
"23",0.777777777777778
"24",0.818181818181818
"25",1
"26",0.826086956521739
"27",0.972972972972973
"28",0.85
"29",0.962962962962963
"30",1
"31",0.705882352941177
"32",0.739130434782609
"33",0.961538461538462
"34",0.967741935483871
"35",0.67741935483871
"36",1
"37",1
"38",1
"39",0.952380952380952
"40",0.851851851851852
"41",0.916666666666667
"42",0.7
"43",1
"44",0.967741935483871
"45",0.705882352941177
"46",0.92
"47",0.862068965517241
"48",0.909090909090909
"49",1
"50",0.923076923076923
"51",0.714285714285714
"52",1
"53",0.95
"54",1
"55",1
"56",0.863636363636364
"57",0.904761904761905
"58",0.8
"59",0.962962962962963
"60",0.962962962962963
"61",0.666666666666667
"62",0.814814814814815
"63",1
"64",0.846153846153846
"65",0.96551724137931
"66",0.782608695652174
"67",0.933333333333333
"68",0.931034482758621
"69",0.967741935483871
"70",1
"71",0.842105263157895
"72",0.791666666666667
"73",0.933333333333333
"74",0.827586206896552
"75",0.9
"76",0.869565217391304
"77",0.72
"78",0.966666666666667
"79",1
"80",1
"81",0.862068965517241
"82",0.791666666666667
"83",0.9
"84",0.909090909090909
"85",0.96551724137931
"86",0.875
"87",0.933333333333333
"88",0.857142857142857
"89",0.945945945945946
"90",0.966666666666667
"91",0.863636363636364
"92",0.888888888888889
"93",0.956521739130435
"94",0.884615384615385
"95",0.970588235294118
"96",0.964285714285714
"97",0.923076923076923
"98",0.702702702702703
"99",0.91304347826087
"100",0.975609756097561
"101",0.733333333333333
"102",0.785714285714286
"103",0.88
"104",0.961538461538462
"105",0.84
"106",0.733333333333333
"107",0.914285714285714
"108",0.941176470588235
"109",0.916666666666667
"110",0.857142857142857
"111",0.833333333333333
"112",0.92
"113",0.793103448275862
"114",1
"115",0.782608695652174
"116",0.794871794871795
"117",0.923076923076923
"118",0.962962962962963
"119",0.941176470588235
"120",0.954545454545455
"121",0.88
"122",0.692307692307692
"123",0.961538461538462
"124",0.863636363636364
"125",0.7
"126",0.758620689655172
"127",0.952380952380952
"128",1
"129",1
"130",0.956521739130435
"131",0.862068965517241
"132",0.925925925925926
"133",0.88
"134",0.91304347826087
"135",0.85
"136",0.9
"137",0.882352941176471
"138",1
"139",0.966666666666667
"140",1
"141",0.666666666666667
"142",0.92
"143",0.84
"144",0.852941176470588
"145",1
"146",0.964285714285714
"147",0.964285714285714
"148",0.869565217391304
"149",1
"150",0.961538461538462
"151",0.896551724137931
"152",0.878787878787879
"153",0.95
"154",0.870967741935484
"155",0.9
"156",0.884615384615385
