"","X0.307000000000698"
"1",0.307000000000698
"2",0.277999999998428
"3",0.275999999998021
"4",0.328999999997905
"5",0.269999999996799
"6",0.277999999998428
"7",0.264000000002852
"8",0.273000000001048
"9",0.269999999996799
"10",0.277999999998428
"11",0.269999999996799
"12",0.270000000004075
"13",0.267999999996391
"14",0.273000000001048
"15",0.322000000000116
"16",0.402000000001863
"17",0.283999999999651
"18",0.326000000000931
"19",0.260999999998603
"20",0.26600000000326
"21",0.286000000000058
"22",0.269999999996799
"23",0.269000000000233
"24",0.273000000001048
"25",0.267999999996391
"26",0.264000000002852
"27",0.27100000000064
"28",0.269000000000233
"29",0.269000000000233
"30",0.266999999999825
"31",0.271999999997206
"32",0.266999999999825
"33",0.274000000004889
"34",0.288999999997031
"35",0.292999999997846
"36",0.288999999997031
"37",0.285000000003492
"38",0.282999999995809
"39",0.288000000000466
"40",0.290000000000873
"41",0.286000000000058
"42",0.275999999998021
"43",0.298999999999069
"44",0.269000000000233
"45",0.27100000000064
"46",0.273000000001048
"47",0.275999999998021
"48",0.269999999996799
"49",0.262000000002445
"50",0.276000000005297
"51",0.336999999999534
"52",0.455999999998312
"53",0.313999999998487
"54",0.306000000004133
"55",0.311999999998079
"56",0.313000000001921
"57",0.320999999996275
"58",0.317999999999302
"59",0.323000000003958
"60",0.326999999997497
"61",0.315999999998894
"62",0.324000000000524
"63",0.326000000000931
"64",0.319000000003143
"65",0.322999999996682
"66",0.328000000001339
"67",0.31699999999546
"68",0.315000000002328
"69",0.322000000000116
"70",0.333999999995285
"71",0.32900000000518
"72",0.333999999995285
"73",0.334999999999127
"74",0.319000000003143
"75",0.315999999998894
"76",0.330000000001746
"77",0.375
"78",0.324000000000524
"79",0.32999999999447
"80",0.331000000005588
"81",0.315999999998894
"82",0.44199999999546
"83",0.31600000000617
"84",0.309999999997672
"85",0.309999999997672
"86",0.315999999998894
"87",0.319999999999709
"88",0.322000000000116
"89",0.325000000004366
"90",0.373999999996158
"91",0.372999999999593
"92",0.374000000003434
