"","X0.283999999999651"
"1",0.283999999999651
"2",0.259999999994761
"3",0.278000000005704
"4",0.275999999998021
"5",0.268000000003667
"6",0.261999999995169
"7",0.2870000000039
"8",0.267999999996391
"9",0.277000000001863
"10",0.26600000000326
"11",0.273000000001048
"12",0.266999999999825
"13",0.274999999994179
"14",0.263000000006286
"15",0.273999999997613
"16",0.260000000002037
"17",0.269000000000233
"18",0.264000000002852
"19",0.264999999999418
"20",0.265999999995984
"21",0.268000000003667
"22",0.266999999999825
"23",0.277000000001863
"24",0.276999999994587
"25",0.264999999999418
"26",0.273000000001048
"27",0.313999999998487
"28",0.305000000000291
"29",0.298000000002503
"30",0.402999999998428
"31",0.260000000002037
"32",0.280000000006112
"33",0.281999999999243
"34",0.269000000000233
"35",0.269000000000233
"36",0.276999999994587
"37",0.277000000001863
"38",0.275999999998021
"39",0.278000000005704
"40",0.309999999997672
"41",0.302999999999884
"42",0.305999999996857
"43",0.264999999999418
"44",0.27900000000227
"45",0.263999999995576
"46",0.269000000000233
"47",0.268000000003667
"48",0.263999999995576
"49",0.273000000001048
"50",0.26600000000326
"51",0.721999999994296
"52",0.747000000003027
"53",0.72899999999936
"54",0.727999999995518
"55",0.773000000001048
"56",0.845000000001164
"57",0.711000000002969
"58",0.800999999999476
"59",0.740999999994528
"60",0.747999999999593
"61",0.752999999996973
"62",0.785000000003492
"63",0.767999999996391
"64",0.75800000000163
"65",0.76299999999901
"66",0.762000000002445
"67",0.760000000002037
"68",0.833999999995285
"69",0.715000000003783
"70",0.733000000000175
"71",0.731999999996333
"72",0.751000000003842
"73",0.786999999996624
"74",0.80800000000454
"75",0.743999999998778
"76",0.769000000000233
"77",0.76299999999901
"78",0.776000000005297
"79",0.723999999994703
"80",0.827000000004773
"81",0.718000000000757
"82",0.711999999999534
"83",0.744999999995343
"84",0.741000000001804
"85",0.737999999997555
"86",0.747000000003027
"87",0.735000000000582
"88",0.761999999995169
"89",0.761000000005879
"90",0.76299999999901
"91",0.760000000002037
"92",0.756999999997788
"93",0.860000000000582
"94",0.703000000001339
"95",0.716000000000349
"96",0.717000000004191
"97",0.716000000000349
"98",0.739999999997963
"99",0.836999999999534
"100",0.772000000004482
"101",1.58599999999569
"102",1.47400000000198
"103",1.60800000000017
"104",1.53299999999581
"105",1.63600000000588
"106",1.60899999999674
"107",1.52199999999721
"108",1.53800000000047
"109",1.66400000000431
"110",1.55099999999948
"111",1.56699999999546
"112",1.55900000000111
"113",1.47400000000198
"114",1.52900000000227
"115",1.61200000000099
"116",1.48400000000402
"117",1.45999999999913
"118",1.47899999999936
"119",1.54699999999866
"120",1.54999999999563
"121",1.63199999999779
"122",1.46700000000419
"123",1.5309999999954
"124",1.57300000000396
"125",1.54499999999825
"126",1.52199999999721
"127",1.78500000000349
"128",1.47499999999854
"129",1.53800000000047
"130",1.65299999999843
"131",1.61200000000099
"132",1.55500000000029
"133",1.48699999999371
"134",1.65700000000652
"135",1.73099999999977
"136",1.53600000000006
"137",1.53899999999703
"138",1.69400000000314
"139",1.47000000000116
"140",1.5769999999975
"141",1.60900000000402
"142",1.48599999999715
"143",1.50700000000506
"144",1.50699999999779
"145",1.52900000000227
"146",1.62900000000081
"147",1.49399999999878
"148",1.61000000000058
"149",1.53399999999965
"150",1.55000000000291
"151",2.77199999999721
"152",2.88799999999901
"153",2.82700000000477
"154",2.88300000000163
"155",2.59799999999814
"156",2.60299999999552
"157",2.57400000000052
"158",2.8179999999993
"159",2.75500000000466
"160",2.8660000000018
"161",2.90299999999843
"162",2.71300000000338
"163",2.65299999999843
"164",2.76400000000285
"165",2.72899999999936
"166",2.6359999999986
"167",2.77199999999721
"168",2.64900000000489
"169",2.64299999999639
"170",2.68699999999808
"171",2.70300000000134
"172",2.625
"173",2.74699999999575
"174",2.65899999999965
"175",2.78399999999965
"176",2.65999999999622
"177",2.66300000000047
"178",2.77300000000105
"179",2.69799999999668
"180",2.7589999999982
"181",2.5940000000046
"182",2.66399999999703
"183",2.88799999999901
"184",2.59599999999773
"185",2.65499999999884
"186",2.73500000000058
"187",2.56199999999808
"188",2.6160000000018
"189",2.7699999999968
"190",2.65000000000146
"191",2.63899999999558
"192",2.68900000000576
"193",2.84599999999773
"194",2.70300000000134
"195",2.82499999999709
"196",2.84799999999814
"197",2.76699999999983
"198",2.75300000000425
"199",2.89199999999983
"200",2.72999999999593
"201",4.3550000000032
"202",4.20900000000256
"203",4.25800000000163
"204",4.13799999999901
"205",4.30000000000291
"206",4.15999999999622
"207",4.19499999999971
"208",4.17599999999948
"209",4.22299999999814
"210",4.13800000000629
"211",4.15800000000309
"212",4.13799999999901
"213",4.03899999999703
"214",4.13900000000285
"215",4.24799999999959
"216",4.09500000000116
"217",4.20900000000256
"218",4.18800000000192
"219",4.19399999999587
"220",4.17900000000373
"221",4.12999999999738
"222",4.32800000000134
"223",4.44199999999546
"224",4.11900000000605
"225",4.16100000000006
"226",4.21499999999651
"227",4.17900000000373
"228",4.18699999999808
"229",4.2609999999986
"230",4.06599999999889
"231",4.18000000000029
"232",4.15400000000227
"233",4.30199999999604
"234",4.16500000000087
"235",4.16300000000047
"236",4.17199999999866
"237",4.18000000000029
"238",4.25500000000466
"239",4.09799999999814
"240",4.125
"241",4.11500000000524
"242",4.15399999999499
"243",4.25800000000163
"244",4.07100000000355
"245",4.25699999999779
"246",4.17500000000291
"247",4.10899999999674
"248",4.15700000000652
"249",4.08499999999913
"250",4.27599999999802
